city,cities,lat,long
calgary,Calgary,51.048615,-114.070846
edmonton,Edmonton,53.544389,-113.490927
guelph,Guelph,43.544805,-80.248167
halifax,Halifax,44.648862,-63.575320
hamilton,Hamilton,43.250021,-79.866091
london,London,42.986950,-81.243177
montreal,Montreal,45.501689,-73.567256
ottawa,Ottawa,45.421530,-75.697193
quebec city,Québec City,46.803283,-71.242796
regina,Regina,50.454722,-104.606667
saskatoon,Saskatoon,52.133214,-106.670046
toronto,Toronto,43.653226,-79.383184
vancouver,Vancouver,49.282729,-123.120738
victoria,Victoria,48.428421,-123.365644
waterloo_kitchener_cambridge,"Waterloo, Kitchener, Cambridge",43.464258,-80.520410
winnipeg,Winnipeg,49.899754,-97.137494
