city,visitors,visitors_scaled,visitors_share_scaled,employees,employees_share,visitor_employee_ratio
calgary,25185,24582.704790009026,0.04030348032594849,820100,0.044838709677419354,0.8988545971974125
edmonton,17885,17457.28311174554,0.02862131211552864,756700,0.041372334609075995,0.6917983330157511
guelph,3365,3284.526568131045,0.005384999455899015,89200,0.004876981957353746,1.1041663682555267
halifax,5744,5606.633167115817,0.009192106054883787,224700,0.012285401858939312,0.748213706025031
hamilton,7332,7156.656403428476,0.011733377714903886,399700,0.021853471842536904,0.5369113795486417
kitchener_waterloo,15365,14997.548505002527,0.0245885636374111,281300,0.015379989065062875,1.5987373939859546
london,9082,8864.8054358889,0.014533897491374398,249900,0.013663203936577365,1.0637254306412074
montreal,122329,119403.5217096293,0.19576273356334936,2128200,0.11635866593767086,1.6824078549354666
ottawa,42473,41457.265060395206,0.06796941512344691,729300,0.039874248223072714,1.7045942720524394
quebec city,14625,14275.24548556212,0.023404343846217857,447400,0.024461454346637507,0.9567846422604483
regina,3546,3461.197982345523,0.005674653215636822,141800,0.007752870420995079,0.7319422236530146
saskatoon,3963,3868.2254946518074,0.006341977070944367,169500,0.009267359212684527,0.6843348709591296
toronto,201153,196342.45847229246,0.3219045454836418,3452800,0.18878075451066156,1.7051767078590732
vancouver,63709,62185.40954801211,0.10195332253666281,1370200,0.07491525423728813,1.3609153913264946
victoria,7900,7711.07277510706,0.012642346419495458,190200,0.010399125205030071,1.2157124921796632
winnipeg,10439,10189.352999916784,0.01670550054090039,426200,0.023302351011481683,0.7169019354600379
